NO2,wind_speed,road_dens,pp_dens,earth_no2
37.540258,5.149836,2988.391064,37.338731,0.000059
33.909175,5.146362,2988.391064,37.338731,0.000059
35.302275,4.940115,2988.391064,37.338731,0.000059
41.987854,5.246479,2988.391064,37.338731,0.000105
47.575875,4.791852,2988.391064,37.338731,0.000059
49.424954,4.626507,2988.391064,37.338731,0.000053
52.827296,4.380268,2988.391064,37.338731,0.000070
54.244338,3.418462,2988.391064,37.338731,0.000094
40.266783,5.571766,2988.391064,37.338731,0.000059
39.385383,4.336925,2988.391064,37.338731,0.000059
27.692700,3.986806,2988.391064,37.338731,0.000059
21.808333,4.478191,2988.391064,37.338731,0.000059
21.808333,4.823519,2988.391064,37.338731,0.000059
21.808333,5.267671,2988.391064,37.338731,0.000059
21.808333,4.938891,2988.391064,37.338731,0.000059
21.808333,5.391410,2988.391064,37.338731,0.000059
21.808333,5.710223,2988.391064,37.338731,0.000059
6.796400,4.108223,2988.391064,37.338731,0.000059
21.808333,3.720861,2988.391064,37.338731,0.000059
21.808333,3.214705,2988.391064,37.338731,0.000059
21.808333,1.722458,2988.391064,37.338731,0.000059
21.808333,2.426569,2988.391064,37.338731,0.000041
21.808333,2.374666,2988.391064,37.338731,0.000059
21.808333,2.958407,2988.391064,37.338731,0.000132
21.808333,5.021234,2988.391064,37.338731,0.000063
21.808333,4.744894,2988.391064,37.338731,0.000059
21.808333,5.209362,2988.391064,37.338731,0.000059
21.808333,4.517688,2988.391064,37.338731,0.000233
21.808333,4.778864,2988.391064,37.338731,0.000059
21.808333,2.783121,2988.391064,37.338731,0.000059
21.808333,3.295582,2988.391064,37.338731,0.000059
21.808333,2.469160,2988.391064,37.338731,0.000059
21.808333,2.533929,2988.391064,37.338731,0.000059
21.808333,3.007799,2988.391064,37.338731,0.000059
21.808333,2.889093,2988.391064,37.338731,0.000059
21.808333,2.701555,2988.391064,37.338731,0.000059
21.808333,4.261072,2988.391064,37.338731,0.000059
21.808333,5.180946,2988.391064,37.338731,0.000059
21.808333,3.811806,2988.391064,37.338731,0.000059
21.808333,4.491582,2988.391064,37.338731,0.000059
21.808333,4.786781,2988.391064,37.338731,0.000062
21.808333,4.363080,2988.391064,37.338731,0.000072
21.808333,2.491908,2988.391064,37.338731,0.000059
21.808333,4.435829,2988.391064,37.338731,0.000059
21.808333,4.330017,2988.391064,37.338731,0.000059
57.093715,5.932654,2988.391064,37.338731,0.000065
59.465938,4.401081,2988.391064,37.338731,0.000066
55.671900,4.792699,2988.391064,37.338731,0.000052
56.559854,3.756172,2988.391064,37.338731,0.000065
35.991937,5.183202,2988.391064,37.338731,0.000059
42.698437,4.919551,2988.391064,37.338731,0.000059
37.576908,4.737364,2988.391064,37.338731,0.000057
29.323721,6.924048,2988.391064,37.338731,0.000048
31.193842,7.510556,2988.391064,37.338731,0.000059
46.821296,5.015578,2988.391064,37.338731,0.000059
42.779242,6.318611,2988.391064,37.338731,0.000059
47.006058,3.612930,2988.391064,37.338731,0.000036
51.056208,3.739550,2988.391064,37.338731,0.000059
43.434258,4.907901,2988.391064,37.338731,0.000059
42.954525,2.461983,2988.391064,37.338731,0.000059
52.148950,2.978492,2988.391064,37.338731,0.000059
45.728158,3.472281,2988.391064,37.338731,0.000050
48.420829,3.957071,2988.391064,37.338731,0.000059
34.145458,3.554321,2988.391064,37.338731,0.000059
48.372775,3.279557,2988.391064,37.338731,0.000059
56.346162,4.962426,2988.391064,37.338731,0.000064
48.382783,4.894079,2988.391064,37.338731,0.000059
48.742533,3.517371,2988.391064,37.338731,0.000059
54.959017,2.535267,2988.391064,37.338731,0.000059
48.090713,3.304729,2988.391064,37.338731,0.000059
52.735258,3.286535,2988.391064,37.338731,0.000060
57.645321,6.753942,2988.391064,37.338731,0.000123
57.012462,9.327214,2988.391064,37.338731,0.000059
49.481770,8.132195,2988.391064,37.338731,0.000059
45.158925,5.589729,2988.391064,37.338731,0.000059
50.856533,3.953880,2988.391064,37.338731,0.000059
41.129383,4.600119,2988.391064,37.338731,0.000059
41.191330,3.564787,2988.391064,37.338731,0.000059
49.328400,3.244535,2988.391064,37.338731,0.000059
49.027021,4.373381,2988.391064,37.338731,0.000059
31.840312,4.295071,2988.391064,37.338731,0.000032
37.826950,7.674557,2988.391064,37.338731,0.000059
29.080054,6.565695,2988.391064,37.338731,0.000059
17.406146,11.400757,2988.391064,37.338731,0.000059
33.160217,6.670612,2988.391064,37.338731,0.000059
41.349104,5.351690,2988.391064,37.338731,0.000059
39.827004,4.069407,2988.391064,37.338731,0.000053
54.190242,3.047352,2988.391064,37.338731,0.000065
42.408200,1.891462,2988.391064,37.338731,0.000049
